Time	Angle	Force	Position
9.29	88.7249	5.08602	0.648953, -0.760828
9.3	88.6708	5.21208	0.60684, -0.794824
9.31	88.6167	5.33332	0.562943, -0.826496
9.32	88.5625	5.44951	0.517437, -0.855721
9.33	88.5084	5.5604	0.470509, -0.882395
9.34	88.4545	5.6658	0.422354, -0.906431
9.35	88.4006	5.7655	0.373177, -0.92776
9.36	88.347	5.85934	0.323186, -0.946335
9.37	88.2937	5.94716	0.272596, -0.962129
9.38	88.2407	6.02884	0.221618, -0.975134
9.39	88.1881	6.10425	0.170467, -0.985363
9.4	88.1359	6.17333	0.11935, -0.992852
9.41	88.0842	6.236	0.0684722, -0.997653
9.42	88.0331	6.29222	0.0180285, -0.999837
9.43	87.9826	6.34198	-0.0317944, -0.999494
9.44	87.9328	6.38527	-0.0808213, -0.996729
9.45	87.8837	6.42212	-0.128889, -0.991659
9.46	87.8353	6.45257	-0.175849, -0.984417
9.47	87.7878	6.47668	-0.221566, -0.975145
9.48	87.7412	6.49452	-0.26592, -0.963995
9.49	87.6954	6.5062	-0.308809, -0.951124
9.5	87.6507	6.51181	-0.350143, -0.936696
9.51	87.6069	6.51149	-0.38985, -0.920879
9.52	87.5641	6.50535	-0.427873, -0.903839
9.53	87.5225	6.49354	-0.46417, -0.885746
9.54	87.4819	6.47622	-0.498713, -0.866767
9.55	87.4425	6.45353	-0.531488, -0.847066
9.56	87.4042	6.42564	-0.562492, -0.826802
9.57	87.3672	6.39272	-0.591736, -0.806132
9.58	87.3314	6.35494	-0.619239, -0.785203
9.59	87.2968	6.31246	-0.64503, -0.764157
9.6	87.2635	6.26545	-0.669147, -0.74313
9.61	87.2315	6.21409	-0.691634, -0.722248
9.62	87.2008	6.15855	-0.712541, -0.701631
9.63	87.1715	6.09899	-0.731923, -0.681388
9.64	87.1435	6.03557	-0.749838, -0.661621
9.65	87.1168	5.96845	-0.766348, -0.642426
9.66	87.0915	5.8978	-0.781515, -0.623887
9.67	87.0675	5.82375	-0.795402, -0.606082
9.68	87.0449	5.74647	-0.808074, -0.589081
9.69	87.0237	5.66609	-0.819593, -0.572947
9.7	87.0039	5.58274	-0.83002, -0.557734
9.71	86.9855	5.49657	-0.839414, -0.543492
9.72	86.9684	5.4077	-0.847833, -0.530263
9.73	86.9527	5.31626	-0.855331, -0.518082
9.74	86.9384	5.22235	-0.861957, -0.506981
9.75	86.9255	5.12611	-0.867759, -0.496985
9.76	86.9139	5.02763	-0.87278, -0.488114
9.77	86.9037	4.92702	-0.877058, -0.480384
9.78	86.8949	4.8244	-0.880629, -0.473806
9.79	86.8874	4.71985	-0.883523, -0.468389
9.8	86.8813	4.61348	-0.885765, -0.464135
9.81	86.8765	4.50538	-0.887377, -0.461045
9.82	86.873	4.39564	-0.888376, -0.459116
9.83	86.8708	4.28437	-0.888776, -0.458342
9.84	86.8699	4.17164	-0.888584, -0.458713
9.85	86.8703	4.05755	-0.887806, -0.460218
9.86	86.872	3.94218	-0.886442, -0.46284
9.87	86.875	3.82564	-0.884488, -0.466564
9.88	86.8792	3.708	-0.881937, -0.471367
9.89	86.8846	3.58936	-0.87878, -0.477227
9.9	86.8913	3.46981	-0.875003, -0.484117
9.91	86.8992	3.34945	-0.87059, -0.492009
9.92	86.9082	3.22837	-0.865522, -0.500871
9.93	86.9184	3.10666	-0.859777, -0.510669
9.94	86.9298	2.98443	-0.853334, -0.521365
9.95	86.9422	2.86177	-0.846166, -0.53292
9.96	86.9558	2.7388	-0.838248, -0.545289
9.97	86.9705	2.61563	-0.829553, -0.558428
9.98	86.9863	2.49235	-0.820054, -0.572287
9.99	87.0031	2.36908	-0.809723, -0.586813
10	87.0209	2.24595	-0.798533, -0.601951
